Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_02-2_12,,,Which quotation from “When Dawn Comes to the City” most effectively illustrates the claim?,"“A lonely newsboy hurries by, / Humming a recent ditty; / Red streaks strike through the gray of the sky, / The dawn comes to the city [New York City].”","“Dark figures start for work; /1 watch them sadly shuffle on, / ’Tis dawn, dawn
in New York. / But I would be on the island of the sea, / In the heart of the island of the sea.”","“And the shaggy Nannie goat is calling, calling, calling I From her little trampled
corner of the long wide lea / That stretches to the waters of the hill-stream falling / Sheer upon the flat rocks joyously!”","“The tired cars go grumbling by, I The moaning, groaning cars, / And the old milk carts go rumbling by / Under the same dull stars.”",,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_02-2_13,,,Which quotation from a scholarly review of Braschi’s work best supports the student’s claim?,“Braschi is the focus of a 2020 collection of essays in which fifteen scholars from seven different countries delved into the linguistic and structural patterns of her writings.”, “Braschi’s eagerness to push boundaries and blend genres within literature invites us to consider how other art forms might also engage with literature.”,"“Before settling in New York City, where she would go on to become a college professor, Braschi studied both literature and philosophy in several cities around the world.”","‘Tn addition to her creative literary works, Braschi has produced academic
pieces analyzing writings by Miguel de Cervantes, Federico Garcia Lorca, and other authors.”",,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_02-2_14,,,Which choice most logically completes the text?,identify molecular components similar to EBF that target the activation of Or31 receptors.,investigate alternative methods for extracting EBF molecules from chrysanthemums.,verify the precise locations of Or31 and other odor receptors on mosquitoes’ antennae.,determine the maximum number of different odor receptors that can be activated by a single molecule.,,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_02-2_15,,,Which choice most logically completes the text?,many young people think they can volunteer only within their own communities.,volunteering may be even more helpful than many young people think it is.,"volunteering can help society overall more than it can help individual people.
",many young people may not know how to find ways to volunteer their time.,,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_02-2_16,,,Which choice completes the text so that it conforms to the conventions of Standard English?,will reach,reach,had reached,are reaching,,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_02-2_17,,,Which choice completes the text so that it conforms to the conventions of Standard English?,were,have been,has been,are ,,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_02-2_18,,,Which choice completes the text so that it conforms to the conventions of Standard English?,forces,to force,forcing,forced,,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_02-2_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,tells,told,is telling,to tell,,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_02-2_20,,,Which choice completes the text so that it conforms to the conventions of Standard English?,have outlined,were outlining,outlines,outline,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_02-2_21,,,Which choice completes the text so that it conforms to the conventions of Standard English?,people's stories,peoples story's,peoples stories,people's story's,,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_02-2_22,,,Which choice completes the text so that it conforms to the conventions of Standard English?,has doubled,had doubled,doubles,will double,,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_02-2_23,,,Which choice completes the text so that it conforms to the conventions of Standard English?,suggested,suggests,had suggested,was suggesting,,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_02-2_24,,,Which choice completes the text with the most logical transition?,"Currently,","In comparison,","Still,","However,",,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_02-2_25,,,Which choice completes the text with the most logical transition?,"in contrast,","for example,","meanwhile,","consequently,",,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_02-2_26,,,Which choice completes the text with the most logical transition?,"Afterward,","Additionally,","Indeed,","Similarly,",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_02-2_27,,,Which choice completes the text with the most logical transition?,"Instead,","For instance,","Specifically,","In addition,",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
