Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_03-2_11,,,Which choice most effectively uses data from the table to complete the text?,silver maple,sugar maple,red maple,Norway maple,,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_03-2_12,,,"Which statement, if true, would most directly support the student’s claim?",The text of the poem as published in the quarterly journal is not identical to the text of the poem published in the stand-alone volume.,Many critics believe that the poet’s explanatory notes remove certain ambiguities of the poem and make it less interesting as a result.,The publishers of the stand-alone volume requested the explanatory notes from the poet in order to make the book attractive to readers who already had a copy of the poem in a journal issue.,Correspondence between the poet and the publisher reveals that the poet’s explanatory notes went through several drafts.,,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_03-2_13,,,Which quotation from $\textit{The Post Office}$ most effectively illustrates the claim?,"“I see, you don’t wish to stop; I don’t care to stay on here either.”","“Oh, flower gathering? That is why your feet seem so glad and your anklets jingle so merrily as you walk.”", “I’ll pay when I grow up—before I leave to look for work out on the other side of that stream there.”,“Wish I could be out too. Then I would pick some flowers for you from the very topmost branches right out of sight.”,,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_03-2_14,,,Which choice best describes data from the table that support Rodriguez and colleagues’ assertion?,"© None of the planets have an orbital period of more than 10 days, and TOI-628 b has a mass of 6.33 Jupiters.","TOI-1478 b has an orbital period of 153 days, and the masses of all the planets range from 0.85 to 6.33 Jupiters."," All the planets have a radius between 1.060 and 1.771 Jupiters, and only TOI- 1333 b has an orbital period of more than 10 days."," Each of the planets has a mass greater than 0.25 Jupiters, and all except for TOI-
1478 b have an orbital period of less than 10 days.",,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_03-2_15,,,"Which choice best describes data in the graph that support Charles and Stephens’s claim?
","At each point on the political orientation scale, high-information voters were more likely than low-information voters to vote.
","Only low-information voters who identify as independents had a voting
probability below 50%.","The closer that low-information voters are to the ends of the political orientation scale, the more likely they were to vote.",High-information voters were more likely to identify as strong Democrats or strong Republicans than low-information voters were.,,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_03-2_16,,,"Which finding, if true, would most strongly support the researchers’ prediction?", Anishinaabe adults who didn’t attend the school feel roughly the same degree of cultural pride as the former students of the school feel.," After transferring to the school, new students experience an increase in both fluency and academic performance overall.","As adults, former students of the school are just as likely to continue living in their community as individuals who didn’t attend the school.","As they complete secondary and higher education, former students of the school experience no loss of fluency or cultural pride.",,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_03-2_17,,,"Which choice best describes Gibson’s approach to art, as presented in the text?", He draws from traditional Native art forms to create his original works.,He finds inspiration from boxing in designing the dresses he makes., He rejects expectations about color and pattern when incorporating beadwork.,He has been influenced by Native and non-Native artists equally.,,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_03-2_18,,,Which choice completes the text so that it conforms to the conventions of Standard English?,to use,have used,having used,using,,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_03-2_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,out but,"out, but",out,"out,",,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_03-2_20,,,Which choice completes the text so that it conforms to the conventions of Standard English?,enter,to enter,having entered,entering,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_03-2_21,,,Which choice completes the text so that it conforms to the conventions of Standard English?,will be,had been,was,is,,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_03-2_22,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"added, whenever",added; whenever,added. Whenever,added whenever,,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_03-2_23,,,Which choice completes the text so that it conforms to the conventions of Standard English?,had survived,survived,would survive,survives,,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_03-2_24,,,Which choice completes the text with the most logical transition?,"Meanwhile,","Nevertheless,","Secondly,","In fact,",,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_03-2_25,,,Which choice completes the text with the most logical transition?,"For example,","To conclude,","Similarly,","In other words,",,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_03-2_26,,,The student wants to explain an advantage of the infilling technique. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"To remove carvings from sandstone arches in Utah’s Arches National Park, power grinding is not always feasible.","Filling in carvings with ground sandstone and a bonding agent is less invasive than smoothing them away with a power grinder, which can greatly alter or damage the sandstone arches.",Park rangers can use a power grinding technique to smooth away carvings or fill them in with ground sandstone and a bonding agent.,"As methods for removing carvings from sandstone, power grinding and infilling differ in their level of invasiveness.",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_03-2_27,,,"The student wants to describe $\textit{Unwoven Light}$ to an audience unfamiliar with Soo Sunny Park. Which choice most effectively uses relevant information from the notes to accomplish this goal?
","Park’s 2013 installation$\textit{Unwoven Light,}$ which included a chain-link fence and iridescent tiles made from plexiglass, featured light as its primary medium of expression.",Korean American light artist Soo Sunny Park created $\textit{Unwoven Light}$ in 2013.,"The chain-link fence in Soo Sunny Park’s $\textit{Unwoven Light} was fitted with tiles
made from iridescent plexiglass.","In $\textit{Unwoven Light,}$ a 2013 work by Korean American artist Soo Sunny Park, light formed colorful prisms as it passed through a fence Park had fitted with iridescent tiles.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
