Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_02-2_13,,,Which choice most logically completes the text?,many theatergoers and readers today are likely to find Shakespeare’s history plays less engaging than the tragedies.,"some of Shakespeare’s tragedies are more relevant to today’s audiences than
twentieth-century plays.",$\textit{Romeo and Juliet}$ is the most thematically accessible of all Shakespeare’s tragedies.,experts in English history tend to prefer Shakespeare’s history plays to his other works.,,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_02-2_14,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"materialism""; and","materialism"" and","materialism,""","materialism""",,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_02-2_15,,,Which choice completes the text so that it conforms to the conventions of Standard English?,researcher Robert Losey has argued that domestication,researcher Robert Losey’s argument is that domestication,"domestication, researcher Robert Losey has argued,",the argument researcher Robert Losey has made is that domestication,,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_02-2_16,,,Which choice completes the text so that it conforms to the conventions of Standard English?,world,world:,world;,"world,",,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_02-2_17,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"were a smaller, foam version","are smaller, foam versions","were smaller, foam versions","is a smaller, foam version",,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_02-2_18,,,Which choice completes the text so that it conforms to the conventions of Standard English?,fungi; producing,fungi. Producing,fungi producing,"fungi, producing",,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_02-2_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,Julian synthesized the alkaloid physostigmine in 1935; it,"in 1935 Julian synthesized the alkaloid physostigmine, which",Julian’s 1935 synthesis of the alkaloid physostigmine,the alkaloid physostigmine was synthesized by Julian in 1935 and,,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_02-2_20,,,Which choice completes the text so that it conforms to the conventions of Standard English?,adjustments prior,"adjustments, prior",adjustments. Prior,adjustments and prior,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_02-2_21,,,Which choice completes the text with the most logical transition?,"Specifically,","Next,","For instance,","In sum,",,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_02-2_22,,,Which choice completes the text with the most logical transition?,"Instead,","Still,","Specifically,","Second,",,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_02-2_23,,,Which choice completes the text with the most logical transition?,"Regardless,","Meanwhile,","Thus,","In comparison,",,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_02-2_24,,,The student wants to emphasize the significance of Ochoa’s discovery. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Ochoa’s 1955 discovery of PNPase proved critical to deciphering the human genetic code, leading to a better understanding of how genetic variations affect human health.","Ochoa first discovered PNPase, an enzyme that he hypothesized contained the genetic blueprints for mRNA, in 1955.","In 1955, Ochoa discovered the PNPase enzyme, which is involved in both the creation and degradation of mRNA.","Though his discovery of PNPase was critical to deciphering the human genetic code, Ochoa incorrectly hypothesized that the enzyme was the source of mRNA’s genetic blueprints.
",,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_02-2_25,,,The student wants to contrast the emissivity of reflective metal fibers with that of silicon carbide fibers. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The ability of reflective metal fibers and silicon carbide fibers to emit heat was determined by an analysis of each material’s emissivity.,"The amount of heat a material absorbs is equal to the amount it emits, as evidenced in Abebe’s analyses.","Though the reflective metal fibers and silicon carbide fibers had different rates of emissivity, Abebe planned to use both in a garment.","Whereas the reflective metal fibers had an emissivity of just 0.02, the silicon carbide fibers absorbed large amounts of heat, resulting in an emissivity of 0.74.",,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_02-2_26,,,The student wants to present the significance of the Hart-Celler Act to an audience unfamiliar with the history of US immigration. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Almost 70% of slots were reserved for immigrants from Great Britain, Ireland, and Germany at the time the Hart-Celler Act was proposed.","Prior to the Hart-Celler Act, new immigration quotas were based on how many people from each country lived in the US in 1890.",The quota system in place in the early 1960s was abolished by the 1965 Hart- Celler Act.,"The 1965 Hart-Celler Act abolished the national-origins quota system, which
favored immigrants from northern Europe.",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_02-2_27,,,The student wants to explain an advantage of the “Women and the Vote” format. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"“Women and the Vote” featured a drawing of a Victorian-style house with several rooms, each containing suffrage artifacts.","To access video clips, songs, artwork, and texts, audiences had to first click on
an artifact.",The “Women and the Vote” format appealed to audiences because it allowed them to control the experience.,"Using an interactive format, theater students at Radford and Virginia Tech created “Women and the Vote,” a play about woman suffrage activists.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
