Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_04-1_26,,,The student wants to summarize the study. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"For a 2019 study, researchers from the UK and Germany collected data on auks’ attempts to land at cliffside nesting sites in different wind conditions.","Emily Shepard and her colleagues wanted to know the extent to which wind affected auks’ success in landing at cliffside nesting sites, so they conducted a study.","Knowing that auks often need multiple attempts to land at their cliffside nesting sites, Emily Shepard studied the birds’ success rate, which was only around 20% in some conditions.","Emily Shepard’s 2019 study of auks’ success in landing at cliffside nesting sites showed that as wind conditions intensified, the birds’ success rate decreased.",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_04-1_27,,,The student wants to introduce &&Paradise&& to an audience unfamiliar with the novel and its author. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Abdulrazak Gurnah, who wrote &&Paradise&& and later was awarded the Nobel Prize in Literature, was born in Zanzibar in East Africa and currently Eves in the United Kingdom.","Many readers have singled out Abdulrazak Gurnah’s 1994 book &&Paradise&&, a historical novel about colonial East Africa, for praise.","A much-praised historical novel about colonial East Africa, &&Paradise&& (1994) was written by Abdulrazak Gurnah, winner of the 2021 Nobel Prize in Literature.","&&Paradise&& is a historical novel about events that occurred in colonial East Africa, Abdulrazak Gurnah’s homeland.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
