Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_04-2_14,,,Which quotation from a translation of “The Poet Walt Whitman” most effectively illustrates the claim?," “Poetry, which brings together or separates, which fortifies or brings anguish, which shores up or demolishes souls, which gives or robs men of faith and vigor, is more necessary to a people than industry itself, for industry provides them with a means of subsistence, while literature gives them the desire and strength for life.”"," “Every society brings to literature its own form of expression, and the history of the nations can be told with greater truth by the stages of literature than by chronicles and decades.”","“Where will a race of men go when they have lost the habit of thinking with
faith about the scope and meaning of their actions? The best among them, those who consecrate Nature with their sacred desire for the future, will lose, in a sordid and painful annihilation, all stimulus to alleviate the ugliness of humanity.”"," “Listen to the song of this hardworking and satisfied nation; listen to Walt Whitman. The exercise of himself exalts him to majesty, tolerance exalts him to justice, and order to joy.”",,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_04-2_15,,,Which choice most logically completes the text?, harvested crops only on the hottest days of each season., found ways to shield their crops from the sun., did not begin farming until long after 4000 BCE.,were able to store extra crops for later use.,,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_04-2_16,,,Which choice most logically completes the text?, decrease an individual’s capacity to utilize dopamine.," increase an individual’s capacity to recognize differences between unrelated
things.", increase an individual’s capacity to form associative memories.,decrease an individual’s capacity to create fan cells.,,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_04-2_17,,,Which choice completes the text so that it conforms to the conventions of Standard English?,claiming,claim,having claimed,to claim,,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_04-2_18,,,Which choice completes the text so that it confirms to the conventions of Standard English?,of ,"of,",of$\text{---}$,of:,,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_04-2_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,explains,explaining,having explained,to explain,,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_04-2_20,,,Which choice completes the text so that it confirms to the conventions of Standard English?,studies,hs been studying,will study ,was studying,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_04-2_21,,,Which choice completes the text so that it confirms to the conventions of Standard English?,story's of the South Asian immigrants,story's of the South Asian immigrants',stories of the South Asian immigrants,stories' of the South Asian immigrant's,,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_04-2_22,,,Which choice completes the text so that it confirms to the conventions of Standard English?,decade: while,decade. While,decade; while,"decade, while",,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_04-2_23,,,Which choice completes the text so that it confirms to the conventions of Standard English?,it,themselves,them,itself,,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_04-2_24,,,Which choice completes the text with the most logical transition?,"For instance,","However,","Similarly,","As a result,",,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_04-2_25,,,Which choice completes the text with the most logical transition?,"Secondly,","Consequently,","Moreover,","However,",,,,,,,,,,,,,,,
SDBBP26,1.0,SDBBP_04-2_26,,,Which choice completes the text with the most logical transition?,"Therefore,","Alternately,","Nevertheless,","Likewise,",,,,,,,,,,,,,,,
SDBBP27,1.0,SDBBP_04-2_27,,,The student wants to provide an explanation and example of “flauna.” Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The term “flauna,” used by Los Angeles-based painter Jon Ching, is a combination of the words “flora” and “fauna.”","Jon Ching uses the term “flauna,” a combination of the words “flora” and “fauna,” to describe the subjects of his surreal paintings: plant-animal hybrids such as a parrot with leaves for feathers.","Jon Ching, who created $\textit{Nectar,}4 refers to the subjects of his paintings as “flauna.”"," The subjects of $\textit{Nectar}$ and $\textit{Primaveral}$ are types of “flauna,” a term that the
paintings’ creator, Jon Ching, uses when describing his surreal artworks.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
